age,gender,height_cm,weight_kg,body fat_%,diastolic,systolic,gripForce,sit and bend forward_cm,sit-ups counts,broad jump_cm,class
27.0,M,181.1,97.1,18.1,85.0,138.0,39.7,-18.4,39.0,167.0,D
24.0,F,155.4,53.7,28.8,63.0,110.0,26.0,24.1,47.0,191.0,A
41.0,F,165.7,50.1,20.5,90.0,128.0,30.6,20.6,42.0,190.0,A
51.0,F,157.0,47.8,27.4,72.0,117.0,21.0,2.9,34.0,139.0,D
21.0,M,185.3,79.3,14.0,97.0,153.0,52.5,16.7,56.0,265.0,A
26.0,M,179.0,79.2,17.7,68.0,125.0,32.9,19.8,59.0,233.0,D
52.0,M,171.4,67.1,20.3,65.0,119.0,43.8,5.4,39.0,200.0,C
33.0,M,168.9,69.9,20.3,65.0,100.0,39.1,-10.7,40.0,233.0,D
34.0,M,178.8,82.3,13.6,77.0,135.0,56.9,6.9,58.0,241.0,D
29.0,F,161.3,52.0,19.3,71.0,128.0,30.9,30.3,38.0,164.0,B
61.0,M,159.4,56.3,25.2,82.0,159.0,28.0,4.8,26.0,169.0,D
56.0,M,161.2,60.1,21.0,91.0,145.0,33.6,14.0,34.0,190.0,B
54.0,M,172.0,69.2,18.9,93.0,143.0,36.7,19.5,43.0,183.0,C
23.0,F,166.8,61.6,24.9,85.0,137.0,34.0,14.5,20.0,167.0,D
22.0,M,168.4,69.9,15.0,51.0,118.0,44.0,16.3,61.0,234.0,A
64.0,F,157.4,50.2,23.4,86.0,139.0,22.4,23.2,27.0,122.0,A
24.0,M,169.5,57.0,16.4,74.0,127.0,42.9,15.8,63.0,231.0,B
23.0,F,165.1,63.2,19.9,64.0,113.0,21.1,15.6,18.0,161.0,D
50.0,F,161.0,58.2,24.7,96.0,149.0,29.9,22.4,40.0,157.0,A
21.0,F,167.0,56.9,22.6,78.0,108.0,29.4,22.3,37.0,179.0,A
22.0,M,176.0,68.6,11.8,78.0,110.0,40.4,9.5,46.0,263.0,C
22.0,F,158.4,63.2,35.8,72.0,113.0,21.0,6.5,33.0,159.0,D
23.0,F,153.2,53.4,34.0,99.0,135.0,24.3,26.3,43.0,187.0,B
28.0,M,175.9,82.04,15.0,86.0,148.0,62.1,18.2,60.0,237.0,A
37.0,M,179.7,79.3,22.9,89.0,155.0,41.2,16.8,45.0,210.0,C
58.0,F,157.7,59.8,31.0,94.0,159.0,30.3,19.9,38.0,170.0,A
22.0,M,172.2,70.6,24.3,70.0,118.0,36.7,9.8,50.0,213.0,D
45.0,M,173.5,86.2,23.5,73.0,144.0,49.4,14.7,37.0,231.0,B
27.0,F,163.3,50.9,28.0,69.0,117.0,25.6,21.6,23.0,173.0,C
23.0,M,175.7,74.8,15.3,66.0,122.0,38.9,21.1,57.0,246.0,A
21.0,F,155.2,43.1,17.8,92.0,133.0,25.2,24.4,33.0,163.0,B
23.0,F,161.1,66.3,33.1,80.0,140.0,29.4,20.0,51.0,170.0,A
41.0,M,179.7,72.2,18.6,97.0,145.0,46.8,14.9,45.0,245.0,B
62.0,M,172.0,69.1,19.8,72.0,118.0,39.4,5.2,22.0,188.0,C
29.0,M,173.7,72.6,12.7,67.0,104.0,5.3,17.6,53.0,227.0,A
46.0,M,169.7,75.0,23.4,98.0,159.0,48.4,14.1,42.0,193.0,D
29.0,M,178.2,77.66,17.0,86.0,132.0,48.2,17.4,48.0,225.0,B
22.0,M,167.4,59.1,9.1,70.0,105.0,47.2,3.5,35.0,274.0,D
60.0,M,160.8,53.8,19.8,92.0,133.0,24.4,5.0,42.0,150.0,C
29.0,F,170.6,68.2,26.8,78.0,135.0,30.3,20.0,24.0,149.0,C
30.0,M,170.7,70.3,18.8,80.0,130.0,49.5,22.3,47.0,224.0,A
25.0,F,165.7,56.2,17.34,68.0,122.0,34.0,20.5,49.0,178.0,A
47.0,M,176.1,80.2,22.8,73.0,123.0,43.0,2.3,20.0,196.0,D
54.0,F,160.5,54.4,26.9,76.0,130.0,24.9,16.6,11.0,144.0,D
47.0,M,166.2,77.5,22.8,84.0,133.0,52.4,11.9,45.0,220.0,B
21.0,M,179.1,60.1,9.1,82.0,124.0,39.9,24.6,51.0,275.0,B
43.0,M,174.0,77.0,16.4,80.0,120.0,53.3,5.2,29.0,180.0,D
48.0,M,169.9,79.6,24.1,99.0,153.0,42.9,4.1,49.0,166.0,D
22.0,F,169.1,62.6,24.3,82.0,136.0,33.2,17.0,17.0,175.0,D
55.0,F,146.3,49.9,31.9,85.0,156.0,25.6,22.7,23.0,114.0,B
21.0,M,175.5,60.8,9.7,58.0,117.0,46.6,19.2,67.0,259.0,A
27.0,M,171.4,74.9,24.4,76.0,137.0,51.4,16.0,36.0,212.0,D
23.0,F,157.5,46.2,23.6,72.0,105.0,23.9,15.0,23.0,142.0,D
45.0,F,165.5,54.1,21.5,79.0,128.0,23.1,21.8,34.0,158.0,A
51.0,M,160.9,66.22,22.2,80.0,149.0,44.3,21.2,43.0,202.0,A
22.0,M,174.5,73.2,17.1,74.0,122.0,60.3,7.6,53.0,204.0,C
54.0,F,155.7,48.5,25.4,98.0,159.0,20.3,12.2,10.0,77.0,D
29.0,M,163.6,63.3,22.3,77.0,125.0,35.9,19.5,44.0,203.0,D
32.0,M,185.1,77.3,22.7,98.0,154.0,44.8,9.9,54.0,221.0,C
26.0,F,164.9,62.6,28.8,76.0,122.0,32.6,11.1,41.0,156.0,C
37.0,F,163.2,45.4,18.4,79.0,125.0,27.0,26.4,30.0,168.0,B
26.0,F,160.0,46.86,21.3,72.0,108.0,22.8,26.9,48.0,173.0,A
28.0,M,179.6,66.0,23.6,85.0,139.0,40.8,5.6,38.0,213.0,C
60.0,F,152.3,52.5,26.5,67.0,156.0,28.3,24.9,28.0,159.0,A
55.0,M,167.3,76.0,27.3,87.0,146.0,33.2,7.0,45.0,160.0,D
21.0,M,176.8,67.78,13.1,75.0,147.0,30.9,21.8,60.0,230.0,D
23.0,M,165.8,68.9,18.9,70.0,125.0,36.6,14.2,45.0,203.0,C
24.0,M,181.3,80.4,21.6,83.0,123.0,36.3,26.0,44.0,232.0,C
38.0,F,159.7,55.9,27.7,60.0,120.0,30.7,25.0,27.0,176.0,B
23.0,M,172.6,64.3,16.9,68.0,131.0,41.1,13.4,47.0,220.0,C
57.0,F,149.1,56.0,30.6,92.0,152.0,25.7,27.8,12.0,130.0,C
27.0,F,159.6,43.5,19.4,64.0,99.0,23.7,23.4,45.0,155.0,A
25.0,F,165.6,54.9,19.9,85.0,135.0,29.6,23.5,56.0,192.0,C
40.0,M,170.5,70.4,21.6,79.0,134.0,39.7,10.3,38.0,230.0,B
49.0,M,169.7,67.74,20.5,89.0,156.0,38.7,17.9,49.0,205.0,A
31.0,F,162.9,47.8,21.0,61.0,100.0,28.8,23.8,21.0,171.0,C
54.0,F,160.3,52.7,27.8,85.0,159.0,30.0,13.4,19.0,151.0,C
43.0,M,171.4,87.7,31.7,79.0,135.0,42.9,-9.2,33.0,195.0,D
51.0,F,156.8,60.7,30.1,91.0,152.0,28.8,20.2,13.0,137.0,C
22.0,F,155.7,55.4,31.1,64.0,98.0,23.7,-11.0,24.0,112.0,D
50.0,M,176.9,70.0,9.8,85.0,143.0,43.5,16.7,45.0,201.0,A
32.0,M,171.0,78.2,23.2,76.0,124.0,35.2,7.5,57.0,225.0,D
37.0,M,176.9,79.6,28.2,79.0,127.0,44.9,14.5,42.0,193.0,B
29.0,M,172.2,63.2,18.0,78.0,139.0,37.4,20.7,59.0,247.0,B
26.0,M,166.7,68.2,22.5,87.0,142.0,45.3,8.1,31.0,186.0,D
22.0,M,162.7,65.7,21.4,95.0,142.0,41.6,11.4,56.0,210.0,C
26.0,M,174.2,64.5,12.5,74.0,138.0,42.0,10.6,51.0,203.0,B
60.0,F,149.1,63.3,42.7,73.0,134.0,23.8,21.6,3.0,118.0,D
28.0,F,158.1,49.4,27.2,68.0,103.0,29.0,32.6,40.0,167.0,A
61.0,M,170.0,80.2,37.6,96.0,158.0,31.4,3.0,29.0,151.0,D
23.0,F,161.5,57.1,24.6,84.0,126.0,28.2,21.2,52.0,192.0,A
62.0,M,175.8,66.6,21.1,83.0,154.0,35.2,8.0,20.0,171.0,C
22.0,M,166.8,61.6,11.4,80.0,131.0,41.7,22.3,55.0,240.0,A
23.0,F,173.3,57.8,26.9,65.0,109.0,25.4,22.8,46.0,176.0,C
22.0,M,176.8,80.2,21.6,86.0,127.0,28.2,-9.9,39.0,194.0,D
25.0,M,170.7,58.0,15.3,88.0,140.0,37.9,-1.2,50.0,200.0,D
22.0,M,172.9,72.0,11.9,79.0,132.0,50.0,20.4,56.0,234.0,A
38.0,M,179.8,77.0,13.0,83.0,123.0,59.4,20.4,53.0,249.0,A
51.0,M,173.8,68.7,17.8,91.0,138.0,38.3,11.2,38.0,223.0,B
40.0,F,165.0,70.5,35.6,76.0,114.0,39.1,16.7,39.0,154.0,B
30.0,M,161.7,52.48,11.7,88.0,125.0,33.7,17.4,39.0,211.0,C
45.0,M,171.9,67.3,28.7,87.0,142.0,32.9,7.5,50.0,196.0,C
59.0,F,154.5,56.8,33.4,80.0,129.0,15.0,6.9,10.0,131.0,D
21.0,F,161.0,45.2,17.4,75.0,126.0,27.2,22.0,40.0,187.0,A
51.0,F,159.0,69.6,35.3,88.0,130.0,27.7,15.5,10.0,127.0,D
21.0,M,175.7,65.1,17.3,83.0,123.0,33.8,25.2,53.0,232.0,C
64.0,F,157.0,56.7,35.3,86.0,144.0,27.8,12.6,5.0,89.0,D
54.0,F,150.2,48.3,37.1,90.0,145.0,18.3,2.8,1.0,85.0,D
25.0,M,178.9,71.4,14.2,62.0,117.0,44.8,16.0,51.0,243.0,A
23.0,M,169.9,80.3,24.1,79.0,155.0,47.9,12.6,51.0,222.0,C
24.0,M,178.3,94.4,30.8,73.0,104.0,54.0,7.6,20.0,252.0,D
30.0,M,174.4,62.14,17.7,94.0,133.0,33.4,14.4,40.0,205.0,C
42.0,M,174.0,66.1,21.9,97.0,140.0,36.7,-0.4,27.0,190.0,D
26.0,F,165.3,55.4,26.8,71.0,122.0,26.3,24.6,28.0,156.0,B
25.0,M,170.9,73.4,20.2,83.0,123.0,42.1,13.4,59.0,207.0,D
35.0,F,164.6,62.3,35.0,88.0,122.0,20.1,15.3,20.0,136.0,C
31.0,F,170.0,56.2,20.5,80.0,123.0,24.7,22.2,27.0,169.0,B
29.0,F,161.3,51.2,24.2,67.0,112.0,27.1,25.0,35.0,221.0,A
22.0,M,168.6,69.2,19.4,95.0,152.0,36.8,7.3,42.0,199.0,C
28.0,M,174.7,82.7,25.4,98.0,140.0,53.1,16.7,60.0,237.0,A
31.0,M,173.8,61.9,10.9,93.0,154.0,43.0,13.4,47.0,242.0,B
56.0,F,148.2,54.7,37.7,85.0,125.0,22.7,10.7,0.0,134.0,D
28.0,M,177.7,83.2,18.2,94.0,143.0,46.0,16.7,59.0,226.0,B
27.0,M,179.3,74.5,20.6,86.0,118.0,46.6,22.6,55.0,240.0,A
47.0,F,158.5,74.7,43.7,72.0,134.0,26.3,11.1,13.0,132.0,D
61.0,M,176.2,70.7,15.5,79.0,135.0,48.5,12.0,31.0,197.0,A
21.0,F,157.2,48.5,26.4,54.0,130.0,19.2,30.3,37.0,177.0,B
60.0,M,171.6,73.5,20.7,88.0,153.0,46.7,17.4,40.0,211.0,A
55.0,M,164.2,62.0,16.6,80.0,122.0,41.3,18.5,40.0,200.0,A
23.0,F,161.6,52.4,30.4,84.0,137.0,26.0,13.0,36.0,185.0,C
60.0,M,167.9,72.8,26.3,67.0,123.0,35.1,0.9,24.0,152.0,D
28.0,M,169.6,69.6,28.75584,95.0,144.0,40.6,13.0,43.0,202.0,D
21.0,M,171.4,56.5,14.7,74.0,116.0,42.6,7.9,45.0,214.0,D
48.0,M,167.2,68.5,28.2,75.0,112.0,39.2,7.0,31.0,195.0,C
31.0,M,174.1,73.9,23.2,91.0,142.0,53.3,14.2,49.0,219.0,A
55.0,M,173.7,75.7,18.6,82.0,134.0,41.8,7.6,48.0,175.0,C
60.0,M,171.3,65.3,19.3,73.0,141.0,33.1,11.5,34.0,164.0,B
60.0,M,172.6,65.2,19.6,99.0,158.0,38.4,22.3,42.0,162.0,A
42.0,M,169.9,72.3,14.2,92.0,131.0,49.6,28.3,62.0,225.0,A
30.0,M,172.1,79.5,26.7,91.0,148.0,34.7,-2.0,40.0,192.0,D
55.0,F,157.2,54.8,34.8,71.0,123.0,23.9,11.3,2.0,112.0,D
41.0,M,182.4,77.72,14.0,99.0,143.0,49.7,5.6,32.0,212.0,C
23.0,M,172.4,80.3,22.2,90.0,151.0,53.5,17.1,60.0,213.0,C
31.0,F,166.9,64.1,30.5,77.0,133.0,27.5,21.5,37.0,150.0,B
23.0,M,175.1,72.7,15.8,77.0,143.0,37.5,-6.44,48.0,212.0,D
29.0,M,178.0,94.9,27.0,94.0,153.0,43.8,12.3,31.0,215.0,D
45.0,M,170.0,70.0,20.0,73.0,137.0,34.2,8.5,36.0,219.0,D
28.0,F,156.9,51.5,23.4,88.0,139.0,28.4,23.4,37.0,164.0,B
63.0,M,159.5,52.0,13.1,72.0,125.0,34.4,26.5,52.0,189.0,A
51.0,M,172.8,72.0,15.6,76.0,128.0,42.4,13.3,46.0,220.0,B
31.0,F,160.6,56.6,31.0,85.0,119.0,30.7,10.4,35.0,144.0,C
22.0,F,160.2,47.7,17.2,80.0,120.0,36.7,25.4,45.0,224.0,A
21.0,F,164.7,55.3,28.0,80.0,126.0,20.7,22.0,44.0,179.0,B
41.0,F,170.0,76.5,32.6,94.0,153.0,31.2,11.4,20.0,171.0,D
49.0,F,159.0,53.1,25.4,73.0,124.0,24.3,15.4,27.0,162.0,B
28.0,M,168.7,67.5,17.6,70.0,156.0,38.4,6.4,46.0,200.0,C
22.0,M,182.9,70.5,13.2,75.0,126.0,35.0,11.3,48.0,232.0,B
23.0,F,160.9,58.14,28.1,73.0,129.0,26.7,15.2,43.0,153.0,B
64.0,M,163.3,62.3,21.2,84.0,142.0,40.1,11.5,20.0,179.0,C
55.0,F,156.0,64.4,40.0,91.0,137.0,30.9,19.5,6.0,122.0,D
43.0,M,177.0,81.2,24.2,89.0,122.0,51.7,2.5,43.0,193.0,D
46.0,F,164.1,49.1,30.5,59.0,117.0,21.2,4.3,16.0,150.0,D
42.0,M,175.0,78.6,25.9,93.0,157.0,43.4,24.4,47.0,211.0,B
42.0,F,158.7,62.6,32.8,78.0,115.0,26.1,18.5,37.0,150.0,C
32.0,M,177.1,78.4,20.7,92.0,137.0,43.5,16.6,42.0,214.0,B
37.0,M,177.0,74.0,18.5,84.0,132.0,48.6,22.1,53.0,220.0,A
61.0,M,162.9,51.6,12.3,76.0,134.0,32.5,13.4,29.0,187.0,B
58.0,M,168.6,57.3,22.1,68.0,114.0,38.7,24.3,40.0,187.0,C
59.0,F,162.0,50.0,25.3,88.0,132.0,27.1,18.5,17.0,95.0,D
28.0,F,162.2,55.3,30.2,88.0,135.0,26.5,24.4,38.0,160.0,B
47.0,M,169.1,66.0,17.7,75.0,114.0,45.5,16.3,49.0,225.0,A
21.0,F,162.4,59.2,20.9,64.0,116.0,29.4,16.4,48.0,158.0,B
38.0,M,177.5,79.2,26.6,98.0,142.0,53.4,16.1,46.0,209.0,B
38.0,F,154.2,46.3,19.3,61.0,100.0,20.2,16.5,32.0,120.0,C
35.0,M,178.1,78.5,20.5,72.0,128.0,49.6,15.7,55.0,235.0,A
60.0,F,157.5,59.4,29.0,73.0,119.0,30.1,29.6,28.0,152.0,A
50.0,M,167.6,60.1,20.5,94.0,150.0,43.1,13.5,27.0,199.0,C
57.0,M,167.9,68.1,17.6,78.0,113.0,38.7,20.0,50.0,215.0,A
24.0,M,174.7,72.6,26.0,64.0,122.0,32.5,19.5,40.0,191.0,D
40.0,M,183.7,97.7,32.6,88.0,155.0,47.3,14.0,32.0,206.0,D
29.0,M,174.3,75.5,9.4,71.0,142.0,43.4,20.8,60.0,256.0,B
23.0,M,169.1,66.1,14.4,61.0,108.0,33.8,8.5,43.0,225.0,C
60.0,F,147.5,53.1,32.6,76.0,140.0,20.0,14.9,19.0,118.0,C
50.0,F,160.4,62.7,32.4,74.0,135.0,26.3,18.0,28.0,135.0,C
27.0,M,170.2,68.8,15.7,86.0,143.0,42.2,15.0,52.0,206.0,B
36.0,M,167.9,73.6,22.5,70.0,122.0,37.8,9.6,53.0,244.0,B
27.0,M,179.3,67.5,17.5,65.0,121.0,50.1,18.2,62.0,242.0,C
30.0,M,175.8,87.2,20.4,90.0,154.0,53.0,19.0,51.0,226.0,C
51.0,M,166.5,63.5,19.0,69.0,123.0,34.1,17.1,52.0,210.0,A
27.0,M,178.2,75.1,15.9,59.0,129.0,49.2,16.7,55.0,229.0,A
54.0,F,160.9,58.7,30.8,68.0,103.0,26.3,23.0,23.0,117.0,B
39.0,M,180.6,73.2,14.9,79.0,119.0,42.8,16.1,46.0,226.0,A
61.0,M,160.7,74.3,32.1,97.0,153.0,35.2,5.0,21.0,132.0,D
37.0,M,166.2,75.6,14.8,73.0,140.0,47.3,17.5,49.0,246.0,A
28.0,M,165.5,56.1,14.5,69.0,125.0,35.2,11.4,51.0,202.0,B
21.0,F,166.1,98.7,43.0,73.0,125.0,35.4,19.7,39.0,180.0,D
25.0,F,163.2,54.4,26.8,85.0,119.0,27.7,24.8,36.0,164.0,A
24.0,F,160.2,52.7,19.1,56.0,98.0,28.8,13.2,51.0,181.0,C
22.0,F,167.0,68.8,26.6,62.0,106.0,31.4,23.8,40.0,171.0,A
47.0,M,168.8,68.4,26.7,78.0,124.0,42.1,6.5,32.0,207.0,C
25.0,F,165.1,54.1,31.7,76.0,126.0,21.9,17.2,30.0,160.0,B
21.0,F,154.4,54.2,32.9,95.0,128.0,30.2,16.4,43.0,117.0,B
50.0,F,155.2,61.2,32.7,93.0,145.0,28.2,23.1,37.0,140.0,A
24.0,M,184.3,69.7,14.0,70.0,112.0,35.6,2.5,46.0,217.0,D
40.0,M,177.6,88.6,20.3,93.0,138.0,51.5,12.1,54.0,224.0,C
32.0,M,183.0,90.7,26.5,96.0,152.0,57.2,20.8,47.0,217.0,D
44.0,M,175.6,64.3,17.1,81.0,121.0,41.6,-0.7,46.0,236.0,D
25.0,F,159.0,54.9,22.0,69.0,106.0,29.1,20.8,47.0,171.0,A
26.0,F,175.6,62.8,22.0,85.0,139.0,34.5,19.0,28.0,165.0,B
27.0,M,148.0,66.3,10.7,84.0,122.0,43.5,22.0,56.0,250.0,A
62.0,F,151.3,48.4,24.3,87.0,153.0,23.1,24.4,19.0,146.0,A
35.0,M,169.7,97.26,33.6,94.0,139.0,43.3,5.3,24.0,200.0,D
22.0,M,183.0,96.4,30.6,86.0,137.0,41.9,4.0,50.0,190.0,D
24.0,M,167.7,68.9,22.7,73.0,124.0,38.4,17.6,44.0,212.0,C
34.0,M,167.1,62.9,19.2,82.0,132.0,37.7,5.3,36.0,221.0,C
39.0,F,152.9,42.2,21.5,63.0,108.0,19.4,12.9,30.0,158.0,C
38.0,M,166.8,71.0,19.4,83.0,145.0,42.6,17.6,54.0,223.0,C
54.0,M,171.5,78.2,24.0,80.0,120.0,42.8,8.5,33.0,193.0,C
38.0,M,176.0,82.9,22.3,88.0,127.0,53.8,17.7,50.0,238.0,A
58.0,F,155.7,70.6,36.8,98.0,144.0,24.9,19.9,25.0,151.0,B
43.0,F,168.3,69.3,31.9,88.0,139.0,32.1,20.2,33.0,164.0,B
28.0,M,172.5,63.7,6.0,65.0,115.0,40.3,15.6,62.0,226.0,A
21.0,M,173.7,72.5,17.4,71.0,128.0,36.4,16.2,55.0,231.0,A
29.0,F,172.0,54.3,20.5,78.0,122.0,26.5,18.2,37.0,185.0,C
43.0,F,156.4,50.0,19.3,73.0,123.0,32.4,23.8,34.0,175.0,A
34.0,M,170.2,63.5,16.2,87.0,142.0,39.6,16.4,54.0,218.0,B
30.0,M,173.2,66.7,13.1,74.0,123.0,46.6,19.3,52.0,245.0,A
28.0,M,178.4,77.9,27.5,86.0,139.0,48.5,17.0,52.0,231.0,A
43.0,M,169.5,67.9,15.6,78.0,135.0,43.1,16.4,35.0,226.0,C
62.0,M,170.8,76.9,20.9,64.0,121.0,42.8,20.3,42.0,194.0,C
28.0,F,160.9,67.2,37.0,80.0,123.0,31.2,23.2,32.0,163.0,B
24.0,F,159.6,52.7,27.6,67.0,106.0,20.2,9.7,12.0,131.0,D
44.0,M,177.2,70.6,16.7,93.0,151.0,45.1,18.3,52.0,233.0,A
29.0,M,171.6,84.5,21.4,91.0,146.0,48.1,6.2,51.0,232.0,C
61.0,M,160.7,58.9,19.1,82.0,153.0,42.9,12.4,44.0,185.0,A
36.0,F,158.8,50.8,28.4,60.0,109.0,24.7,18.2,36.0,147.0,C
33.0,M,187.7,86.2,19.5,89.0,144.0,54.5,30.2,50.0,211.0,B
22.0,M,170.7,74.9,20.5,78.0,118.0,39.4,8.0,27.0,135.0,D
39.0,M,170.5,77.2,27.1,81.0,138.0,46.8,13.5,46.0,222.0,B
39.0,F,164.7,57.8,21.8,73.0,123.0,30.9,26.2,52.0,180.0,A
62.0,M,161.6,62.2,19.6,87.0,145.0,37.8,15.3,33.0,179.0,A
27.0,M,176.0,87.8,21.6,71.0,132.0,53.5,5.4,52.0,254.0,C
54.0,F,148.0,53.4,27.9,97.0,159.0,27.9,23.0,35.0,145.0,A
60.0,M,159.9,57.8,22.7,87.0,141.0,43.0,16.2,19.0,159.0,C
22.0,M,181.1,84.3,27.6,99.0,153.0,35.7,7.9,47.0,201.0,D
26.0,M,174.8,81.8,22.7,79.0,130.0,47.1,23.2,48.0,238.0,B
43.0,M,172.6,72.2,17.7,78.0,120.0,43.1,11.3,46.0,228.0,B
22.0,M,171.4,56.6,17.0,76.0,114.0,27.9,15.0,48.0,259.0,D
21.0,M,167.9,61.5,12.2,81.0,132.0,46.7,16.3,60.0,256.0,B
37.0,M,183.6,84.6,20.4,89.0,136.0,54.5,5.1,51.0,215.0,D
24.0,F,162.0,47.9,15.6,81.0,114.0,27.5,24.7,34.0,175.0,B
21.0,M,173.7,63.2,9.3,79.0,139.0,40.3,13.1,57.0,244.0,B
